SYSTEM_ID;SYSTEM_NAME;ACTIVE;DESCRIPTION;PHASE_ID;OPERATOR_LIST
11;CSDB;1;CSDB;0;1
12;ALU_NM;1;ALU NM;0;1
31;NOKIA_DATA_PCRF;1;NOKIA_DATA_PCRF;0;1
36;KKTC_TWAMP;1;KKTC_TWAMP;0;1
35;HUAWEI_DATA_CORE;1;HUAWEI_DATA_CORE;0;1
39;KKTC_5G;1;KKTC_5G;0;1
6;ERICSSON_SGSN;1;ESGSN;0;1
7;ERICSSON_GGSN;1;EGGSN;0;1
5;Transmission;1;TRANSMISSION;0;1
22;PCRF;1;PCRF;0;1
4;NSS;1;VOICE CORE;0;1
24;STP;1;STP;0;1
23;DRA;1;DRA;0;1
8;NEC;1;NEC;NULL;1
29;WDM;1;WDM;0;1
32;5G;1;5G;0;1
38;HP;1;HP;0;1
13;KKTC_2G;1;KKTC 2G;0;1
14;KKTC_3G;1;KKTC 3G;0;1
15;KKTC_NSS;1;KKTC NSS;NULL;1
16;KKTC_SGSN;1;KKTC SGSN;0;1
17;KKTC_GGSN;1;KKTC GGSN;0;1
18;KKTC_U2000;1;KKTC Transmission;0;1
20;IMS;1;IMS;0;1
1;BSS;1;2G;0;1
2;3GRAN;1;3G;0;1
37;KKTC_HW_DATA_CORE;1;KKTC_HW_DATA_CORE;0;1
26;VAS;1;VAS;0;1
99;TEST_SYSTEM;1;TEST_SYSTEM;0;1
3;NW;1;NW;0;1
28;TWAMP;1;TWAMP;0;1
30;MSP;1;MSP;0;1
33;DEFNE_CLI;1;DEFNE_CLI;0;1
19;FEMTO;1;FEMTO;NULL;1
21;LTE;1;LTE;0;1
25;AP;1;AP;0;1
27;SYSTEM;1;SYSTEM;0;1
34;KKTC_LTE;1;KKTC_LTE;0;1
