VENDOR_ID;VENDOR_NAME;ACTIVE;SHORT_NAME;VTYPE;PHASE;TEMP_SCHEMA;PERM_SCHEMA;OPERATORNAME_SYSTEMTYPE;NEW_VENDOR;SYSTEM_SHRTCODE;SYSTEM_ID;OPERATOR
30;CSDB;1;CSDB;NULL;CSDB/One-MNP/HSS;NULL;NULL;NULL;1;NULL;11;VODAFONE
33;ALU_NM;1;ALU_NM;NULL;ALU_NM;NULL;NULL;NULL;1;NULL;12;VODAFONE
16;ERICSSON_SGSN;1;ERICSSON_SGSN;NULL;ESGSN;NULL;NULL;NULL;1;NULL;6;VODAFONE
9;5G;1;5G;NULL;5G;HIZIR2;M2000;NULL;1;NULL;32;VODAFONE
3;NOKIA NSS;1;NOKIA NSS;NULL;NOKIA_NSS;NULL;NULL;NULL;1;NULL;4;VODAFONE
17;ERICSSON_GGSN;1;ERICSSON_GGSN;NULL;EGGSN;NULL;NULL;NULL;1;NULL;7;VODAFONE
49;KKTC_TWAMP;1;KKTC_TWAMP;NULL;KKTC_TWAMP;NORTHI_PARSER_KKTC;NORTHI_PARSER_KKTC;KKTC_TWAMP;1;NULL;36;KKTC-TELSIM
48;HUAWEI_DATA_CORE;1;HUAWEI_DATA_CORE;NULL;HUAWEI_DATA_CORE;NULL;NULL;NULL;1;NULL;35;VODAFONE
52;KKTC_5G;1;KKTC_5G;NULL;KKTC_5G;NORTHI_PARSER_KKTC;NORTHI_PARSER_KKTC;KKTC-TELSIM_HW5G;1;NULL;39;KKTC-TELSIM
11;U2000;1;U2000;NULL;Transmission;NULL;NULL;NULL;1;NULL;5;VODAFONE
14;NSN_BSC;0;NSN BSC;NULL;NSN;NULL;NULL;NULL;1;NULL;1;VODAFONE
35;PCRF;1;PCRF;NULL;PCRF;NULL;NULL;NULL;1;NULL;22;VODAFONE
38;STP;1;STP;NULL;STP;NULL;NULL;NULL;1;NULL;24;VODAFONE
37;DRA;1;DRA;NULL;DRA;NULL;NULL;NULL;1;NULL;23;VODAFONE
40;VAS;1;VAS;NULL;VAS;NULL;NULL;NULL;1;NULL;26;VODAFONE
41;SYSTEM;1;SYSTEM;NULL;SYSTEM;NULL;NULL;NULL;1;NULL;27;VODAFONE
51;HP;1;HP;NULL;HP;NULL;NULL;NULL;1;NULL;38;VODAFONE
21;HW_CS;1;KKTC_NSS;NULL;KKTC_NSS;NULL;NULL;NULL;1;NULL;15;KKTC-TELSIM
24;KKTC_U2000;1;KKTC_U2000;NULL;KKTC_Transmission;NULL;NULL;NULL;1;NULL;18;KKTC-TELSIM
27;KKTC_GGSN;1;KKTC_GGSN;NULL;KKTC_GGSN;NULL;NULL;NULL;1;NULL;17;KKTC-TELSIM
26;KKTC_SGSN;1;KKTC_SGSN;NULL;KKTC_SGSN;NULL;NULL;NULL;1;NULL;16;KKTC-TELSIM
1;MOTOROLA BSS;1;BSS;NULL;BSS;HIZIR2;NORTHI_PARSER;NULL;1;NULL;1;VODAFONE
5;HUAWEI_SINGLE_RAN;1;HUAWEI SINGLE RAN;NULL;BSS;HIZIR2;M2000;NULL;1;NULL;1;VODAFONE
32;SAM2G;0;SAM2G;NULL;BSS;NULL;NULL;NULL;1;NULL;1;VODAFONE
4;HUAWEI M2000;1;3GRAN;NULL;3GRAN;HIZIR2;M2000;NULL;1;NULL;2;VODAFONE
31;SAM3G;0;SAM3G;NULL;3GRAN;NULL;NULL;NULL;1;NULL;2;VODAFONE
39;AP;1;AP;NULL;AP;NULL;NULL;NULL;1;NULL;25;VODAFONE
2;NSS;1;NSS;NULL;NSS;NULL;NULL;NULL;1;NULL;4;VODAFONE
7;ULAK;0;ULAK;NULL;ULAK;HIZIR2;HIZIR2;NULL;1;NULL;21;VODAFONE
50;KKTC_HW_DATA_CORE;1;KKTC_HW_DATA_CORE;NULL;KKTC_HW_DATA_CORE;NORTHI_PARSER_KKTC;NORTHI_PARSER_KKTC;KKTC_HW_DATA_CORE;1;NULL;37;KKTC-TELSIM
22;KKTC_2G;1;KKTC_2G;1;KKTC_2G;NORTHI_PARSER_KKTC;NORTHI_PARSER_KKTC;KKTC-TELSIM_HW2G;0;NULL;13;KKTC-TELSIM
23;KKTC_3G;1;KKTC_3G;1;KKTC_3G;NORTHI_PARSER_KKTC;NORTHI_PARSER_KKTC;KKTC-TELSIM_HW3G;0;NULL;14;KKTC-TELSIM
28;NWSTS;1;NW;NULL;NW;NULL;NULL;NULL;1;NULL;3;VODAFONE
8;NEC-SPIDERNET;1;NEC;NULL;NEC;NULL;NULL;NULL;1;NULL;8;VODAFONE
42;TWAMP;1;TWAMP;NULL;TWAMP;NULL;NULL;NULL;1;NULL;28;VODAFONE
44;MSP;1;MSP;NULL;MSP;NULL;NULL;NULL;1;NULL;30;VODAFONE
46;DEFNE_CLI;1;DEFNE_CLI;NULL;DEFNE_CLI;NULL;NULL;NULL;1;NULL;33;VODAFONE
29;ALCATEL BSR;1;ALU_FEMTO;NULL;FEMTO;NULL;NULL;NULL;1;NULL;19;VODAFONE
34;IMS;1;IMS;NULL;IMS;NULL;NULL;NULL;1;NULL;20;VODAFONE
6;HUAWEI_LTE;1;LTE;NULL;LTE;HIZIR2;M2000;NULL;1;NULL;21;VODAFONE
43;WDM;1;WDM;NULL;WDM;NULL;NULL;NULL;1;NULL;29;VODAFONE
45;NOKIA_DATA_PCRF;1;NOKIA_DATA_PCRF;NULL;NOKIA_DATA_PCRF;NULL;NULL;NULL;1;NULL;31;VODAFONE
47;KKTC_LTE;1;KKTC_LTE;NULL;KKTC_LTE;NORTHI_PARSER_KKTC;NORTHI_PARSER_KKTC;KKTC-TELSIM_HW4G;1;NULL;34;KKTC-TELSIM
